component,spec_value_freq50,spec_value_freq100,spec_value_freq150,nr_of_frequencies,nr_chrgrams,nr_time_points_chrgram1,chrgram1,elution_peak_pos_chrgram1,elution_peak_val_chrgram1,area_under_peak_chrgram1
Component1,0.7676528089083923,0.4966657035590156,0.40500906642109075,3,1,750,1.0,739,0.23360748649432975,10161.618026163696
Component2,0.7960235909992189,0.2482249763477778,0.5520242781706738,3,1,750,1.0,557,0.013650295989773775,-4369.90658107623
